,CNN,RNN,LSTM,BiLSTM,ATFN
0,35233.125,35556.023,35749.156,35597.758,35240.773
1,35499.242,35439.79,35444.69,35426.67,35208.938
2,35428.02,35321.836,35344.945,35391.027,35084.492
3,35258.9,35197.844,35361.633,35291.977,34907.11
4,35117.57,35215.04,35198.72,35017.023,34554.42
5,34768.594,35159.305,34887.82,34738.117,34136.797
6,34516.35,34984.09,34538.29,34468.688,34055.266
7,33469.93,34386.797,34145.04,33974.715,33189.703
8,34031.5,34571.086,34138.906,34062.555,34217.668
9,34186.86,34743.914,34333.867,34279.586,34388.49
10,34232.984,34823.703,34443.066,34387.844,34229.344
11,34140.766,34830.0,34521.4,34407.51,34187.04
12,34215.297,34996.547,34498.543,34529.6,34362.61
13,34138.29,34757.008,34422.844,34411.83,33997.164
14,34030.496,34798.156,34397.715,34259.234,33793.617
15,33425.902,34312.688,34191.906,33910.914,33560.664
16,33326.1,34193.867,33940.832,33705.324,33656.46
17,33464.832,34124.273,33934.188,33835.434,33548.246
18,33627.46,34218.926,34098.82,34038.22,33821.01
19,33542.527,34236.715,34125.883,33938.383,33712.86
20,33438.17,34270.68,34034.97,33910.79,33846.83
21,33959.33,34455.58,34137.906,34159.938,34178.094
22,34087.188,34513.883,34332.67,34389.633,34509.414
23,34055.727,34878.29,34588.46,34493.152,34628.58
24,34179.55,34901.953,34764.43,34721.965,34881.258
25,34382.766,34848.35,34862.22,34903.4,35063.668
26,34297.586,35057.164,34954.93,35087.22,34987.723
27,34464.97,34998.227,34914.594,34863.03,34937.492
28,34833.4,35227.805,35083.06,35061.01,35196.297
29,35287.848,35020.977,35295.625,35297.008,35107.0
30,35446.633,35079.12,35475.83,35424.016,35436.36
31,35358.785,35368.086,35572.805,35529.445,35477.234
32,35230.203,35297.188,35494.87,35425.99,35301.664
33,35170.996,35153.29,35282.742,35155.28,35179.92
34,35343.836,35176.664,35185.43,35049.93,35264.867
35,35436.08,35025.21,35197.254,35040.86,35214.797
36,35144.758,34669.695,35071.14,34760.14,34780.586
37,34997.67,34823.562,34936.508,34612.977,34760.77
38,35120.414,34834.086,34872.11,34638.78,34947.188
39,34851.42,34815.086,34865.035,34668.79,34900.1
40,34745.043,34948.008,34826.39,34516.43,34776.0
41,34791.844,34816.254,34721.93,34432.156,34744.11
42,35299.47,34663.42,34881.273,34769.215,34975.383
43,35269.79,34563.43,34955.633,34811.438,35001.61
44,34923.156,34810.164,35028.164,34835.188,35089.516
45,35471.312,35228.375,35237.29,35188.484,35479.617
46,35486.027,35182.133,35376.598,35320.61,35585.516
47,35037.43,35037.58,35281.242,35114.973,34923.953
48,34849.03,34726.734,34961.67,34746.836,34408.14
49,35033.32,34503.797,34650.56,34464.176,34234.22
50,34632.074,34098.4,34325.008,34050.633,34000.59
51,34082.29,34094.367,34150.64,33792.57,34074.05
52,34320.043,34015.977,34269.812,33989.59,33950.86
53,33957.234,33969.64,34018.97,33650.812,33677.72
54,33549.727,34242.504,33854.617,33604.777,33768.492
55,34125.516,34098.453,33808.523,33649.305,33943.883
56,33961.777,34246.883,33941.836,33811.43,33813.203
57,33667.188,33906.61,33916.727,33595.062,33399.27
58,33047.766,34058.363,33663.164,33310.496,33081.934
59,33268.074,33750.062,33359.848,33108.195,32930.156
60,32745.072,33504.715,33080.16,32816.25,32765.78
61,32190.422,33276.156,32844.69,32520.76,32064.47
62,32744.613,33420.023,32839.14,32623.781,32789.633
63,33028.348,33353.246,32975.457,32948.03,33012.78
64,33025.844,33627.46,33110.67,33118.617,33082.723
65,32943.195,33708.773,33189.633,33094.28,32552.559
66,32298.389,33094.555,32749.934,32491.387,31881.775
