,CNN,RNN,LSTM,BiLSTM,ATFN
0,4306.705,4385.7725,4341.994,4351.324,4348.5957
1,4312.755,4438.1104,4351.721,4359.825,4360.7188
2,4367.3228,4436.426,4358.077,4374.677,4388.9336
3,4379.8877,4410.0166,4359.4355,4376.758,4367.419
4,4300.6997,4409.3384,4327.9653,4337.163,4286.0522
5,4162.7607,4383.466,4282.83,4278.8457,4248.8086
6,4204.8647,4404.3945,4250.379,4246.7646,4244.7373
7,4296.7456,4362.8525,4269.1006,4269.7246,4303.039
8,4239.992,4352.551,4294.89,4283.4854,4264.2334
9,4203.785,4359.6797,4302.346,4282.539,4244.9443
10,4190.7476,4375.7314,4289.2354,4275.684,4254.716
11,4316.3145,4421.5376,4311.0586,4312.5693,4364.1206
12,4316.5454,4393.675,4347.8125,4359.3354,4379.931
13,4335.3315,4396.9736,4389.4424,4397.4917,4400.45
14,4440.95,4433.1494,4422.6113,4432.67,4452.2036
15,4469.4873,4436.0664,4427.968,4438.1133,4441.8853
16,4500.818,4428.01,4438.662,4444.3438,4475.544
17,4522.1836,4475.7617,4458.302,4449.4062,4479.9985
18,4492.2617,4474.0576,4442.635,4429.7695,4487.842
19,4538.9004,4475.1494,4471.651,4461.182,4522.8887
20,4569.2197,4539.998,4501.1016,4493.516,4543.4834
21,4586.333,4526.752,4534.3955,4515.3096,4592.0815
22,4608.9214,4559.1396,4559.329,4535.0615,4604.467
23,4610.052,4570.457,4547.5933,4528.478,4568.9297
24,4565.6543,4493.919,4508.9775,4505.1836,4544.6475
25,4567.201,4491.091,4491.1274,4494.712,4586.8027
26,4604.808,4477.3745,4491.866,4496.2373,4546.0254
27,4552.246,4463.244,4472.2734,4463.121,4479.665
28,4536.172,4495.1543,4460.4937,4440.0723,4479.341
29,4543.2295,4543.807,4451.336,4431.786,4479.0674
30,4522.1484,4422.634,4438.338,4418.323,4434.1353
31,4470.909,4344.317,4422.9775,4393.6406,4414.086
32,4448.1104,4417.4775,4410.8477,4379.4673,4426.2905
33,4485.883,4413.2964,4412.8047,4387.507,4440.119
34,4448.167,4346.222,4397.4624,4371.7705,4365.996
35,4392.4883,4354.1597,4396.854,4373.99,4439.2285
36,4538.3438,4490.7803,4418.287,4404.327,4468.315
37,4499.5986,4404.532,4431.309,4418.049,4434.6543
38,4316.339,4271.5303,4390.167,4375.479,4347.219
39,4273.426,4307.385,4334.205,4320.328,4331.292
40,4313.092,4341.082,4287.6963,4289.2676,4274.9727
41,4248.093,4197.6855,4243.083,4232.6025,4238.8086
42,4313.2266,4223.249,4253.284,4229.8877,4307.7734
43,4285.043,4332.7607,4272.5127,4240.7295,4284.1855
44,4141.6494,4213.0146,4244.962,4212.0425,4193.051
45,4095.207,4222.5684,4226.3867,4207.1562,4198.8457
46,4177.723,4285.6816,4211.48,4206.1855,4258.1455
47,4204.515,4235.2686,4223.2964,4222.413,4218.622
48,4058.2878,4212.246,4207.088,4193.33,4135.047
49,4000.7888,4214.707,4165.948,4144.018,4062.061
50,3995.1187,4159.486,4111.884,4086.8286,4022.65
51,4027.129,4110.24,4075.645,4043.816,3989.277
52,3922.958,4012.4194,4048.2722,4000.9722,3966.3252
53,3946.42,4071.1194,4033.7559,3980.8372,3947.5264
54,4057.4912,4124.1475,4057.3628,4024.024,4044.9285
55,4046.9775,4128.16,4074.3345,4052.085,4020.1448
56,4005.6182,4115.833,4086.3093,4064.4973,4019.3403
57,3934.1348,4112.4775,4042.5957,4014.228,3853.9717
58,3872.8442,4142.5635,3980.9263,3957.7874,3841.826
59,3842.1455,4012.8613,3956.4238,3939.3677,3945.7192
60,3914.4531,4027.6982,3962.9802,3940.2407,3920.7393
61,3960.305,4079.527,4005.5166,3978.1714,3953.6177
62,4023.8687,4179.634,4048.3262,4019.578,4037.078
63,4087.8184,4168.2163,4080.786,4057.0686,4127.405
64,4179.1562,4193.051,4130.02,4122.2197,4186.341
65,4182.799,4207.76,4174.2847,4169.132,4191.708
66,4169.503,4171.292,4185.3394,4167.871,4137.354
67,4123.2793,4230.979,4182.4844,4171.259,4125.0757
68,4118.446,4142.579,4153.8027,4165.099,4162.5664
69,4168.714,4106.374,4167.246,4194.402,4151.9434
70,4070.1292,4201.704,4159.206,4192.2373,4115.6514
71,4096.276,4349.0254,4153.105,4187.8467,4129.9033
72,4033.1777,4314.8623,4154.1074,4195.673,4117.143
73,4039.9353,4333.102,4119.508,4169.8306,4057.555
74,3971.1348,4239.931,4066.9602,4112.066,3977.3667
75,3872.3408,4246.099,3993.3496,4034.6333,3842.459
76,3859.3196,4167.4277,3921.403,3969.2236,3780.5698
77,3797.543,4066.6694,3879.87,3928.8618,3784.7812
78,3763.6729,4082.1885,3866.9263,3919.9736,3732.5818
79,3699.3564,4105.377,3845.523,3901.2341,3591.5898
