,Date,Price,Open,High,Low,Vol,Fluctuations,RSI,SMA_5,SMA_20,EMA,MACD,signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC,sent_index
69,2016-04-13,17908.28,17741.66,17918.35,17741.66,91710000,1.06%,55.890733087771906,17628.42999999999,17582.629500000003,17626.075489611052,184.62314455104206,220.40767102389657,93.32789927339121,36.247187379433605,44.70239869970811,39.6078325121976,-34.02202795856253,1195.9900000000016,0.5058813665708151,1.0
70,2016-04-14,17926.43,17912.25,17962.14,17885.44,84510000,0.10%,58.04895922467388,17673.42399999999,17615.775,17678.10721877268,195.11092645102326,215.3483221093219,100.0,66.00916724514586,60.427148131217,45.809517048328864,-9.451190634057536,1061.0800000000017,1.1074703446874556,-0.3333333333333333
71,2016-04-15,17897.46,17925.95,17937.65,17867.41,118160000,-0.16%,58.218798562019934,17747.53599999999,17646.0035,17723.169542632193,202.197240743586,212.71810583617474,100.0,97.77596642446372,79.6485424469595,61.59269642596155,-6.855854661185284,1029.7800000000025,1.495945473096083,-0.37254901960784315
72,2016-04-18,18004.16,17890.2,18009.53,17848.22,89390000,0.60%,57.58941277284506,17808.27999999999,17666.439000000002,17753.538716699066,202.59310247430403,210.6931051638006,80.97729675838764,93.65909891946252,84.49173329523562,74.85580795780406,-22.716542927850423,945.2000000000007,0.510186023228898,-0.4117647058823529
73,2016-04-19,18053.6,18012.1,18103.46,17984.43,89820000,0.27%,59.147263229675836,17896.43199999999,17687.559,17800.54985911742,210.31871377358766,210.61822688575802,100.0,93.65909891946252,79.90653372661625,81.34893648960382,-14.753807147586622,1020.8099999999977,1.6597217636497907,-0.45098039215686275
74,2016-04-20,18096.27,18059.49,18167.63,18031.21,100210000,0.24%,59.741979954187705,17959.99799999999,17710.397999999997,17847.629884732432,217.75514754056712,212.04561101671985,100.0,93.65909891946252,71.57371738029684,78.65732813404959,-15.823822066139769,1008.8200000000033,2.5789741244898634,-0.4901960784313726
75,2016-04-21,17982.52,18092.84,18107.29,17963.89,102720000,-0.63%,60.1641577483257,17996.115999999987,17735.5995,17892.213542053807,223.76027202990372,214.38854321935662,100.0,99.99999999999999,72.49242033780865,74.6575571482406,-10.943810359964985,1123.670000000002,2.292947247965782,-0.5294117647058824
76,2016-04-22,18003.75,17985.05,18026.85,17909.89,134120000,0.12%,58.126083840157875,18007.93599999999,17760.585499999997,17909.092898044022,217.31653455539345,214.97414148656398,0.0,66.66666666666664,61.85571313776416,68.64061695195657,-26.71641791044796,979.0,2.4474534601623743,-0.5686274509803921
77,2016-04-25,17977.24,17990.94,17990.94,17855.55,83770000,-0.15%,58.20611422750598,18028.08399999999,17783.828499999996,17923.974189308745,210.26133813456545,214.03158081616428,2.8383323319104288,34.27944411063679,54.26880620889015,62.87231322815433,-25.854550775534378,975.9499999999971,2.299834873152551,-0.607843137254902
78,2016-04-26,17990.32,17987.38,18043.77,17934.17,92570000,0.07%,58.13664071877939,18023.139999999992,17807.568499999998,17935.502518525336,202.0536333816708,211.63599132926558,0.0,0.946110777303455,42.82127962298702,52.981932989880455,-26.375475563359615,779.8899999999994,2.3677192519181878,-0.6470588235294118
79,2016-04-27,18041.55,17996.14,18084.66,17920.26,109090000,0.28%,58.26344810695224,18010.46999999999,17824.7575,17946.527515157093,194.01929338003902,208.11265173942027,4.81000376456793,2.549445365492765,47.157594472896584,48.08256010159127,-26.81752075937906,778.989999999998,1.43436408994424,-0.6862745098039216
80,2016-04-28,17830.76,18023.88,18035.73,17796.55,100920000,-1.17%,58.67352420970965,17996.677999999993,17840.148999999998,17960.59160331035,187.72641396702238,204.0354041849407,100.0,34.93666792152262,58.99785579934528,49.65890996507631,-23.409764518125215,774.5400000000009,0.623204790018006,-0.7254901960784315
81,2016-04-29,17773.64,17813.09,17814.83,17651.98,136670000,-0.32%,54.46677735307885,17962.28599999999,17847.716500000002,17933.773129981197,163.8416062905344,195.99664460605942,0.0,34.93666792152262,57.32885463274892,54.49476830166361,-57.73702895482528,491.7099999999991,-0.6295900635670648,-0.7647058823529412
82,2016-05-02,17891.16,17783.78,17912.35,17773.71,80100000,0.66%,53.91078485718823,17920.85399999999,17846.935999999998,17906.5016518028,140.92317741247825,184.9819511673432,0.0,33.333333333333314,48.86685734168497,55.06452259125974,-74.44002715019899,302.28999999999724,-0.5948508121765061,-0.803921568627451
83,2016-05-03,17750.91,17870.75,17870.75,17670.88,97060000,-0.78%,55.311062602788695,17897.527999999988,17854.571999999996,17900.001351475017,128.29895903323268,173.6453527405211,27.618755582708783,9.206251860902908,39.419432374965304,48.53838144979975,-57.57393580917292,281.0499999999993,-0.7847502512200011,-0.8431372549019609
84,2016-05-04,17651.26,17735.02,17738.06,17609.01,95020000,-0.56%,52.72487475457197,17845.30399999999,17861.050499999998,17870.00474211592,106.11862886108065,160.140007964633,0.0,9.206251860902908,36.8509431288502,41.71241094850018,-77.4426264723781,132.3100000000013,-1.796673106494151,-0.8823529411764706
85,2016-05-05,17660.71,17664.48,17736.11,17615.82,81530000,0.05%,51.431977101072576,17773.423999999988,17859.910499999998,17832.636607185756,81.90442569075094,144.4928915098566,0.0,9.206251860902908,32.792643258235046,36.3543395873502,-90.07017292613925,75.66999999999825,-2.3675663964308535,-0.9215686274509804
86,2016-05-06,17740.63,17650.3,17744.54,17580.38,80020000,0.45%,51.17103938232701,17740.865999999987,17864.655999999995,17799.484496788344,60.868632030909794,127.76803961406725,0.0,-1.8947806286936004e-14,22.95948598983473,30.867690792306675,-88.09365687526638,164.96999999999753,-1.8612681087903593,-0.9607843137254903
87,2016-05-09,17705.91,17743.85,17783.16,17668.38,85590000,-0.20%,52.805177704730966,17732.879999999986,17872.524499999996,17789.369133735916,51.15661555062616,112.44575480137902,45.81167263912958,15.270557546376509,31.881897863807307,29.21134237062571,-72.16347381864666,217.7699999999968,-1.3734135070207598,-1.0
88,2016-05-10,17928.35,17726.66,17934.61,17726.66,75790000,1.26%,52.471375557419165,17704.061999999987,17880.290499999996,17777.96747305666,41.593222404528206,98.27524832200886,82.27686604165174,42.69617956026042,39.551495328327114,31.4642930606564,-72.23814313639923,214.0799999999981,-1.449460677430514,-1.0
89,2016-05-11,17711.12,17919.03,17919.03,17711.05,87390000,-1.21%,55.71238040683324,17740.863999999987,17889.158999999996,17803.615205228176,48.972293615937815,88.41465738079465,100.00000000000001,76.02951289359375,64.39802316879184,45.277138786975435,-32.84484810026204,266.66999999999825,-0.42848077421047126,-1.0
90,2016-05-12,17720.5,17722.01,17798.19,17625.38,88560000,0.05%,51.95852551785206,17752.369999999988,17879.646999999997,17788.77789518669,38.47883324179202,78.42749255299412,27.62185272789336,69.96623958984834,58.95980953994058,54.30310934568653,-71.91441262790559,5.959999999999127,-1.6748336096334526,-1.0
91,2016-05-13,17535.32,17711.12,17734.74,17512.48,86650000,-1.05%,51.75911254469906,17764.533999999985,17868.905499999997,17774.65827788002,28.950237982935505,68.5320416389824,0.0,42.540617575964426,60.880272959617685,61.412701889450055,-65.28365199762325,49.37999999999738,-0.5724441969360838,-1.0
92,2016-05-16,17710.71,17531.76,17755.8,17531.76,88440000,1.00%,48.582272225181974,17722.115999999984,17850.983499999995,17730.494954629106,6.846976877190173,56.19502868662396,0.0,9.207284242631085,30.535468191558806,50.12518356370571,-96.63043098325723,-267.630000000001,-1.4171340401197052,-1.0
93,2016-05-17,17529.98,17701.46,17701.46,17469.92,103260000,-1.02%,51.4961053777665,17717.075999999983,17835.4515,17725.215871969267,2.988900775795628,45.55380310445829,44.91773353302163,14.972577844340512,34.39306852789269,41.93626989302308,-59.07813576995805,-16.56999999999971,-0.9473021557573125,-1.0
94,2016-05-18,17526.62,17501.28,17636.22,17418.21,79120000,-0.02%,48.16530780807622,17633.525999999983,17807.540999999997,17684.500258883945,-16.036644896528742,33.235713504260886,9.239900967225472,18.05254483341567,25.994762857929214,30.307766525793593,-83.91363284275765,-104.17000000000189,-1.3179573521766574,-1.0
